Date,P,Ep
2017-10-14,0.0,1.4359618720393195
2017-10-15,0.0,1.6160515763731906
2017-10-16,0.0,1.6217018242525663
2017-10-17,0.0,1.5554093145090855
2017-10-18,0.0,1.4131072085691907
2017-10-19,0.0,1.480520274422123
2017-10-20,0.0,1.6415931063744797
2017-10-21,3.2599999999999985,1.4079065443222831
2017-10-22,2.6999999999999993,1.0416273041426982
2017-10-23,2.6500000000000004,0.613124307453299
2017-10-24,0.0,1.0205831828032204
2017-10-25,0.0,1.2497609812898172
2017-10-26,0.0,1.4314189107055015
2017-10-27,0.69,0.914242948902645
2017-10-28,0.0,0.8644667833888258
2017-10-29,3.6199999999999997,0.8513576601595289
2017-10-30,0.0,0.7513443905956334
2017-10-31,0.0,0.6805373733062318
2017-11-01,0.0,0.7542887583996333
